 ,Area,Mean,Min,Max
1,341,255,255,255
2,364,255,255,255
3,480,255,255,255
4,345,255,255,255
5,453,255,255,255
6,364,255,255,255
7,488,255,255,255
8,367,255,255,255
9,399,255,255,255
10,316,255,255,255
11,361,255,255,255
12,378,255,255,255
13,414,255,255,255
14,486,255,255,255
15,465,255,255,255
16,386,255,255,255
17,474,255,255,255
18,331,255,255,255
19,429,255,255,255
20,453,255,255,255
21,472,255,255,255
22,406,255,255,255
23,498,255,255,255
24,366,255,255,255
25,359,255,255,255
26,309,255,255,255
27,433,255,255,255
28,410,255,255,255
29,398,255,255,255
30,407,255,255,255
31,369,255,255,255
32,353,255,255,255
33,426,255,255,255
34,426,255,255,255
35,361,255,255,255
36,354,255,255,255
37,448,255,255,255
38,434,255,255,255
39,320,255,255,255
40,428,255,255,255
41,342,255,255,255
42,399,255,255,255
43,320,255,255,255
44,470,255,255,255
45,395,255,255,255
46,307,255,255,255
47,314,255,255,255
48,401,255,255,255
49,421,255,255,255
50,249,255,255,255
51,414,255,255,255
52,237,255,255,255
53,320,255,255,255
54,416,255,255,255
55,307,255,255,255
56,410,255,255,255
57,350,255,255,255
58,368,255,255,255
59,416,255,255,255
60,371,255,255,255
61,264,255,255,255
62,341,255,255,255
63,383,255,255,255
64,305,255,255,255
65,324,255,255,255
66,498,255,255,255
67,407,255,255,255
68,440,255,255,255
69,431,255,255,255
70,471,255,255,255
71,429,255,255,255
72,363,255,255,255
73,427,255,255,255
74,374,255,255,255
75,359,255,255,255
76,377,255,255,255
77,350,255,255,255
78,375,255,255,255
79,364,255,255,255
80,274,255,255,255
81,361,255,255,255
82,440,255,255,255
83,428,255,255,255
84,354,255,255,255
85,382,255,255,255
86,345,255,255,255
87,381,255,255,255
88,261,255,255,255
89,459,255,255,255
90,344,255,255,255
91,405,255,255,255
92,432,255,255,255
93,275,255,255,255
94,444,255,255,255
95,403,255,255,255
96,480,255,255,255
97,320,255,255,255
98,390,255,255,255
99,372,255,255,255
100,474,255,255,255
101,306,255,255,255
102,281,255,255,255
103,331,255,255,255
104,237,255,255,255
105,344,255,255,255
106,394,255,255,255
107,387,255,255,255
108,396,255,255,255
109,477,255,255,255
110,456,255,255,255
111,360,255,255,255
112,319,255,255,255
113,344,255,255,255
114,375,255,255,255
115,485,255,255,255
116,402,255,255,255
117,384,255,255,255
118,338,255,255,255
119,407,255,255,255
120,392,255,255,255
121,418,255,255,255
122,345,255,255,255
123,311,255,255,255
124,339,255,255,255
125,364,255,255,255
126,318,255,255,255
127,490,255,255,255
128,423,255,255,255
129,337,255,255,255
130,357,255,255,255
131,366,255,255,255
132,316,255,255,255
133,447,255,255,255
134,443,255,255,255
135,386,255,255,255
136,302,255,255,255
137,392,255,255,255
138,469,255,255,255
139,436,255,255,255
140,382,255,255,255
141,434,255,255,255
142,453,255,255,255
143,343,255,255,255
144,486,255,255,255
145,375,255,255,255
146,363,255,255,255
147,387,255,255,255
148,333,255,255,255
149,455,255,255,255
150,383,255,255,255
151,341,255,255,255
152,387,255,255,255
153,372,255,255,255
154,359,255,255,255
155,404,255,255,255
156,309,255,255,255
157,388,255,255,255
158,362,255,255,255
159,375,255,255,255
160,367,255,255,255
161,226,255,255,255
162,240,255,255,255
163,431,255,255,255
164,303,255,255,255
165,382,255,255,255
166,417,255,255,255
167,318,255,255,255
168,445,255,255,255
169,359,255,255,255
170,292,255,255,255
171,348,255,255,255
172,419,255,255,255
173,447,255,255,255
174,341,255,255,255
175,364,255,255,255
176,259,255,255,255
177,296,255,255,255
178,402,255,255,255
179,464,255,255,255
180,322,255,255,255
181,417,255,255,255
182,425,255,255,255
183,361,255,255,255
184,474,255,255,255
185,468,255,255,255
186,354,255,255,255
187,393,255,255,255
188,449,255,255,255
189,373,255,255,255
190,433,255,255,255
191,320,255,255,255
192,354,255,255,255
193,392,255,255,255
194,495,255,255,255
195,445,255,255,255
196,462,255,255,255
197,354,255,255,255
198,348,255,255,255
199,307,255,255,255
200,466,255,255,255
201,379,255,255,255
202,329,255,255,255
203,427,255,255,255
204,254,255,255,255
205,343,255,255,255
206,500,255,255,255
207,383,255,255,255
208,321,255,255,255
209,421,255,255,255
210,320,255,255,255
211,328,255,255,255
212,345,255,255,255
213,403,255,255,255
214,399,255,255,255
215,377,255,255,255
216,451,255,255,255
217,416,255,255,255
218,364,255,255,255
219,366,255,255,255
220,262,255,255,255
221,173,255,255,255
222,223,255,255,255
223,266,255,255,255
224,487,255,255,255
225,330,255,255,255
226,480,255,255,255
227,347,255,255,255
228,331,255,255,255
229,417,255,255,255
230,334,255,255,255
231,412,255,255,255
232,424,255,255,255
233,368,255,255,255
234,337,255,255,255
235,430,255,255,255
236,477,255,255,255
237,330,255,255,255
238,383,255,255,255
239,302,255,255,255
240,480,255,255,255
241,304,255,255,255
242,252,255,255,255
243,361,255,255,255
244,437,255,255,255
245,486,255,255,255
246,325,255,255,255
247,317,255,255,255
248,367,255,255,255
249,454,255,255,255
250,464,255,255,255
251,394,255,255,255
252,333,255,255,255
253,347,255,255,255
254,256,255,255,255
255,366,255,255,255
256,359,255,255,255
257,234,255,255,255
258,455,255,255,255
259,372,255,255,255
260,409,255,255,255
261,290,255,255,255
262,284,255,255,255
263,390,255,255,255
264,451,255,255,255
265,347,255,255,255
266,295,255,255,255
267,478,255,255,255
